"coding","scale","model","outcome","term","estimate","ci_lower","ci_upper","p_value","n_used"
"(a) primary: unlisted contributes 0","IACB (0-4)","M4: fully adjusted","CFDAST","n_drugs",-0.19251710138544,-0.331523435602715,-0.0535107671681643,0.00950856418139109,1303
"(a) primary: unlisted contributes 0","IACB (0-4)","M5b: high-potency","CFDAST","n_highpot_iacb",0.575939929516216,-0.170380006705889,1.32225986573832,0.121881110254673,1303
"(a) primary: unlisted contributes 0","IACB (0-4)","M4+: + comorbidities","CFDAST","iacb_burden",-0.0365992499063448,-0.271199847633151,0.198001347820461,0.74606625413671,1235
"(a) primary: unlisted contributes 0","IACB (0-4)","M4+: + comorbidities","CFDAST","n_drugs",-0.110467278945924,-0.359353576434301,0.138419018542453,0.36216326556648,1235
"(a) primary: unlisted contributes 0","Boustani ACB (0-3)","M4-IPW","CFDDS","acb_burden",-0.852512533541556,-1.98870053903187,0.283675471948758,0.131834841283209,1288
"(a) primary: unlisted contributes 0","IACB (0-4)","M4-IPW","CFDDS","iacb_burden",-0.506510588166951,-0.98932125698385,-0.0236999193500531,0.0408343555121517,1288
"(b) drugs on both lists only","Boustani ACB (0-3)","M3: burden + count","CFDDS","acb_common",-1.0476527537117,-2.07404165290762,-0.0212638545157724,0.0459231523674868,1422
"(b) drugs on both lists only","Boustani ACB (0-3)","M3: burden + count","CFDDS","n_drugs",-1.10822131530583,-1.65748429707011,-0.558958333541546,0.000532180137715693,1422
"(b) drugs on both lists only","Boustani ACB (0-3)","M4: fully adjusted","CFDDS","acb_common",-0.825367071804954,-1.8661611004222,0.215426956812296,0.112603979148948,1288
"(b) drugs on both lists only","Boustani ACB (0-3)","M4: fully adjusted","CFDDS","n_drugs",-0.535911825331639,-0.922722064934001,-0.149101585729277,0.00948677237950734,1288
"(b) drugs on both lists only","IACB (0-4)","M3: burden + count","CFDDS","iacb_common",0.0298260952178832,-0.474157087541721,0.533809277977488,0.902098644058017,1422
"(b) drugs on both lists only","IACB (0-4)","M3: burden + count","CFDDS","n_drugs",-1.37202954627033,-1.86872494195517,-0.875334150585478,2.01649939520267e-05,1422
"(b) drugs on both lists only","IACB (0-4)","M4: fully adjusted","CFDDS","iacb_common",-0.521606329323115,-1.00854511389081,-0.0346675447554217,0.0372353123393576,1288
"(b) drugs on both lists only","IACB (0-4)","M4: fully adjusted","CFDDS","n_drugs",-0.529920611402324,-0.853738174166986,-0.206103048637662,0.00304047458038136,1288
