"drug","n_users","iacb_status","boustani_score","boustani_status"
"bumetanide",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"calcium acetate",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"cinacalcet",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"colestipol",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"cyanocobalamin",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"diclofenac topical",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"dronedarone",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"enalapril; hydrochlorothiazide",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"eszopiclone",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"exemestane",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"exenatide",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"flecainide",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"flunisolide nasal",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"fluticasone",3,"d. unscored (not on list)",0,"a. confirmed score zero"
"formoterol",3,"d. unscored (not on list)",0,"a. confirmed score zero"
"glipizide; metformin",3,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"hydrochlorothiazide; quinapril",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"hydrochlorothiazide; telmisartan",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"lactulose",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"lidocaine topical",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"loteprednol ophthalmic",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"lubiprostone",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"metolazone",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"minoxidil",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"mupirocin topical",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"oxygen",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"potassium citrate",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"prednisolone ophthalmic",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"primidone",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"senna",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"sevelamer",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"timolol ophthalmic",3,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"acetaminophen; butalbital",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"acetaminophen; butalbital; caffeine",2,"c. combination, partially resolved",NA,"d. unscored (not on list)"
"aliskiren; hydrochlorothiazide",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"amiloride; hydrochlorothiazide",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"amlodipine; hydrochlorothiazide; olmesartan",2,"c. combination, partially resolved",NA,"c. combination, partially resolved"
"ammonium lactate topical",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"antihyperlipidemic agents - unspecified",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"armodafinil",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"betaxolol ophthalmic",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"bethanechol",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"chlorhexidine topical",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"cholestyramine",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"denosumab",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"difluprednate ophthalmic",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"dutasteride; tamsulosin",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"febuxostat",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"fesoterodine",2,"d. unscored (not on list)",3,"b. exact match"
"fluconazole",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"fluphenazine",2,"d. unscored (not on list)",0,"a. confirmed score zero"
"fluvoxamine",2,"d. unscored (not on list)",1,"b. exact match"
"fosinopril",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"galantamine",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"icosapent",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"insulin lispro; insulin lispro protamine",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"ipratropium nasal",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"isosorbide dinitrate",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"lamotrigine",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"leflunomide",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"linagliptin; metformin",2,"c. combination, partially resolved",0,"c. combination, fully resolved"
"liothyronine",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
"loperamide",2,"d. unscored (not on list)",1,"b. exact match"
"medroxyprogesterone",2,"d. unscored (not on list)",NA,"d. unscored (not on list)"
